1<>名前が無い程度の能力<>sage<>2008/08/18(月) 21:19:36<>―――‐-.._　　　　　　　　　　　r.､__,､<br>＿:::::::::::::::::::::＼__,,.-―¬　　　　ゝ、「￣/___<br>　　｀＼ _..　-―‐- _:::::::::{_　-―‐'‐ヽ!._/_／<br>_／￣｀ .&gt;　　　　 　 ｀ヾ´　 ''&quot; ,,-‐'&quot;´<br>､　　　 / l　　　/　　　､ ｀ヽ／<br>　ゝ､ /　l　　 /l　 l　iﾍ ヽ ､ヾ､　＜AAで語るよ〜<br>　l 　 　 |　　ﾊ‐l‐- ﾘ　 ',-l‐} |.　　　, ! ,　<br>. |　l 　 |　 ｲ__i_lヽノ　　i_ﾉ_」ﾉ　〜- Ｏ -<br>│ l　l.:| 　 ! -―-　　 --|´! 　 　 　' i '　<br>.|　| .ｌ:.:|　 ｉ| &quot;&quot;&quot;　 _　 &quot;&quot;| .|　　　r-i<br>| .:| .l_rｉ　 l|ゝ.._ 　 '┘ _ノ　|i　　,:'￣｀､<br>.:.:| .|〉 l、 ｌ|＼ﾉ_}Τ￣ｌ. 　 ﾘ　, '　　　 ヽ<br>:::|.::|{、| ﾍ!|ゝﾊ l.ﾉ| |:.:.l:.　 ! 　{　　　　　｝<br>.:l.:.:/ ｀|　 | /::::|::| | |:.:.|:. ﾉ　　:､　　　　:'<br>.:.:./ 　 |　 |':::::::|:::|.| ゝ=〈　　　 ｝＝＝｛<br>:_ﾉ＿__ |　 |;;;;;_」r' |/:. ﾊ!　　,r'´　　　　ヽ､<br>￣o￣ｏ|　 |¬.`|　|ヽ,､ﾉ　,:'　　　　　　 　:::!<br>＿＿_r‐|　 |_＾iV|,_,ﾄ､＿＿!　　　　　　　 :::,!<br>-― ´￣｀ｰ-､」 〉___/　, ／ ￣ヽ　　　 ,,;;,,:'<br>　　　　　　　　 ｀＼　／　　　　　} ,,;:;:;:;:;:''<br>・前スレ<br>東方AAスレ　其の十五<br>ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/41116/1213711372/<br><br>・AAスレの標準環境とか<br>ttp://touhou-aamatome.sakura.ne.jp/about.html<>東方AAスレ　其の十六<>As3Rau260
932<>名前が無い程度の能力<>sage<>2008/11/04(火) 02:23:54<>touhou wikiという手もある<br>ttp://touhou.wikia.com/wiki/Flower_Tank<br>よくできてるんじゃないかな<a href="/bbs/read.cgi/computer/41116/1219061976/921" target="_blank">&gt;&gt;921</a><br>こっちだとちょっとずれて見えるけど<br><br>touhou wikiだとるーことの絵も見れる<br>…が件のマークが見えるアングルの絵はないな残念ながら(ちなみに背中のはず)<><>xZSz9iV20
955<>名前が無い程度の能力<>sage<>2008/11/06(木) 00:29:57<>女教皇ｗ<><>RB7odbvQ0
956<>名前が無い程度の能力<>sage<>2008/11/06(木) 06:49:21<>らめええええええええ<><>Xyt/y3fM0
957<>名前が無い程度の能力<>sage<>2008/11/06(木) 14:20:35<>　　　　　　　　　　 　 　 ﾄ、<br>　　　　　　　　　　　 　./　',　,!<br>　　　　　　　　　 　 .／　　ﾚ' |<br>　　　　　　　　　 ／　　 　 　 !<br>　　　　　　　　 / 　　 　　 　.,'　　　　　 　　 _,,,...　-───ｧ<br>　　　　　　 　　',　　 __,.-､ _/,,.. --─‐-＜´ 　　　 　　 　 /<br>　　　　　　　　　＼（＞''&quot;´　　　　　　 ○'　　　　 　 　 ／　　ひゃあっ？<br>　　　 （＼　　　 ／　　　　ﾊ　　 　 　　 ○　 　　　　＜　　　　着替え中に<br>　　　　 ｀ 　 　./　　　 ＿/ｿ　,ﾊ　ｧ‐-　 ヽ、　　　　　 ｀＞　　　のぞかないでください〜<br>　　　　　　　／　 /　´|/_く_／　ﾚ'‐‐-､,ﾊ 　!｀7ーr-‐ ''´<br>　　　　　 ＜._＿,:' 　/7´ｒ,､ 　 　 l´ﾞﾊ ∨　 ∨ 　 |　　　っ<br>　　　　　○　 ∠___,ﾊ.|　!_r! . 　 └‐ﾟ' 八＿_.＞　 '､<br>　　　　　　　　 　 ／⊂⊃　rｧー-､ ⊂⊃ .| 　　 　　＼　　　ﾟ<br>　　Ｏ　　　 　＜´　 人　　 l　　 　 ） / 　/!　ﾊ　　o 　,＞　<br>　　 　　　　 　　 ｀7 o／＞_､.,,＿　イ　／､ﾚ'　|／|／´<br>　　　　ﾟ 　　 　 　 ﾚ' .／´i/　| |＼./ﾚ' 　 !ヽ､_,,..-‐ｧ‐､<br>　　　　　　　　＿__／　＼|　 ', ',_/´　 ｀ヽ|　　　　/─- ､ - ､<br>　　　 r‐-､／　　´　　　 八.　∨ 　　　　 !　 　 　!.　　　　Y　!　　三　ミ<br>　　　 ヽ. /　　　　　　　/　 ｀ﾞﾞ7　　　　　 |　　 ＼| , 　　 　|./|<br>　　 　 _ﾉ|　　　 　　 　,'　/:::／´　　　 　 .|　　　 /´ 　　_,.ｲ　.|　　　─　､<br>　　　(__,八.　　 　 　 /　,|::/　　　　　　　 |＼_／-‐ '' &quot; 　 ! oト 、<br>　　　　 ￣ ＼＿__／　〈￣ヽｒ‐､　　 　　 |￣　 ',　　　　 　|／!　 )）<br>　　　　　　　　　　　 ｒ‐‐｀'ｰへ.__）‐､_　　|.　　　 ', _,,..　 ''&quot;|　 |￣<br>　　　　　　　　　　　 `ー-へ.,__　 `'く_)｀Y|_,,.. -‐ ', 　 　 　|　 |<br>　　　　　　　　　　　　 　　 　＼｀ー'::::_/∧　　 　 ',　　 　 |　,'<br>　　　　　　 　　 　 　 　 　､＿　＼￣　　　':,.　　　 ',　　 　!./<br>　　　　　　　　　　　　　` ー- 　 　＼　　　 ':, 　　　', 　 ／<br>　　　　　　　　　　　　　　　　　　　　　`ー-----─ ''&quot;´<><>ivSgnabE0
958<>名前が無い程度の能力<>sage<>2008/11/06(木) 15:57:56<>ひょっとして、上着の裾から出てる部分って、おしりの横・・？<><>Cf6QG/YQ0
959<>名前が無い程度の能力<>sage<>2008/11/06(木) 17:13:23<>このお尻を待っていた<><>hZeduG8g0
960<>名前が無い程度の能力<>sage<>2008/11/06(木) 17:23:54<>お尻きた！これで勝つる！<><>lISFf4lY0
961<>名前が無い程度の能力<>sage<>2008/11/06(木) 18:16:54<>絵うpスレ<a href="/bbs/read.cgi/computer/41116/1219061976/619" target="_blank">&gt;&gt;619</a><br><br>　　　　　　　　 _,.．-'''&quot;￣ ＞＝―､_　<br>　　　　　　__／::::::::::::::::::二-ー､: :￣￣｀ヽ　<br>　　　　 ,／ ::::::::::::::: i,／´,. -‐　ヽ､ ::::::::::: ｀)　<br>　　　 /: :／:::::::::__ノ´　／　　　　 ｀ヽ.,__ ノヽ　<br>　　　,&gt;＝ーｧ'¨´/　 /　 /　　　　　/ヽヽ 　 &gt;､　<br>　　 /／ ／ 　./　 ./　 /　　　 / /　｀ヾ ﾘｼ'｀ヾヽ　<br>　 / .／　／ ./　 / /./ 　 　 /　,'￣ ｀　 ll ﾄ､　 ヽヽ　<br>　 i! ,.　 /　 .,'　 /　//　　　,/　r-､_ｰ､　lﾘ l　l　　',' .ヽ　<br>. / / ., '　　 l　 l　 i! l　　　 i.!　ﾚitﾘヽ　//ﾉl　.l　　 ',ヽヽ　　　　　　　 r.j.ヽ　<br>.i /. /　　　j 　.l　 i! .l　　　.ﾊ . l＼ﾉ　 /ﾉ/ l　 l　　　l ヾ',　　　　　　_ . l ヽヽ　<br>.〉 ./　　／ｉ!l　 l　.l.l. l　 　 l l.. ｉ　 　 ノ' 〈　.l　 l　　　.l　l l　　　　　 &gt;､｀ヽ.ヽ',　<br>.| /　 , ' 　 ﾘ　 ',　li､ヽ　　 l .l .|　 　 　 　 〉l　 .l　　,　l　 l!　　　　　l　l &gt;　l. i!　<br>.7 ,.　　　 ノﾍ　 ヽ.',｀ヾ､ __ヽヾ　ヽ 、　.／ 　 /　 /l　l　ﾉ 　 　 　 ﾉ _l.ﾉ'　l .l　<br>,'./　　　／ 傘､ ヽヽ,.,..,.,_ヽ、　　　　／ノ　ノ＿ ﾉﾉ .ﾉ　　　　 　 / 　 ﾉ 　 /　<br>ﾚ　　／ 　 リ'￣l｀ヽヽ｀＝iヾヽ_ ,　´／ノ ノ/ ./　￣　　　 　 　 ,l　 /　　/　<br>' /／　　　,ｲﾘ:: l ::＿:::::::::| |｀ヽ､ ￣　 ´´∠ノ　　　　　 　 　 　 l　,'　　,.'　<br>/　／　 ／/ '´7 ｀丶 ー―ヾ=ー―､　　　　　　　　　　　 　 　 |　' 　.l'　<br>v　　_ノ　/ :::: l :::::::::::::ヽ :::: ｀ヾ三ﾆi_.ヽ､　　　　　　　　　 　 　 |　　　l　<br>＞ ,フ ,.ｲ ;::: ｲ ｀ヽ､:::::::::',:: ヽ､_二__ヾヽ≧―＝―--　＿　　　 l　　　',　<br>　ン　 .i!; ::::: l :::::::::::::｀ヽ､', ', ::::::::::::: ￣ヽ｀＞,.､.,_　　　　./.l　　 l　　　 ',　<br>´　　ノ.{::::::::::l :::::::::::::｀丶. i! ', ::::::::::::::::::::::::｀ ヽ＞-ヽ､._ /.ヽl　　 l. 　 　 ',　<br>ー　´.　',:::::::::l ::::::::::::::::::::::::!il.', :::::::::::::::::::::::::::::::::::｀ヾﾐ,､｀ヽ, l.　　 l　　 　 ',　<br>三 　 　 〉 :::: l::::::::::::::::::::::l ヾ''､ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;', ',. .',r‐-,　|　　　　',　<br>　 ￣　 .l l ::::: l::::::::::::::::::ﾉ.:::::ヽヽ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; -l l: : l ,./ﾞヽj　　　　 l　<br>　　 ／ |:::::::::::l :::::::::::,r:::::::::::ノ ::ヾ､ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ｦﾉ_, i .,'　　l 　 　 　 |　<br>ノ　　　|:::::::::::l:::::::::／ :::::::::::::ヽ ::､ :::::::::::::::::::::::::::::::::ァ'=''ﾌ　,'　　 l 　 　 　 |　<br>　　ﾉ　.l :::::::::l:::::::::::::::::::::::::::::::::ヽ ー ::＿: :＿＿: :__:/〈〈､　 l.　 　ヽ、　 　 l　<br>ノ　　ﾉ| :::::::::l ::::::::::::::::::::::::::::::::::: ヽ :::::::::￣:::::::::::＿ ) ) ﾉ｀.´｀ヽ､ 　 　 　 ﾉ　<br>　　ノ l､:::::::::l:::::::::::::::::::::::::::::::::::: ノー: :―― ::::::::::::: ヽヽヽ､　　　 ｀ー-‐.'　<br>ノ　　ノﾘヽ､.,l_ :::::::::::::::::: _,.．ｧ''´: :｀ー ― :: ＿: :＿: :≧,&gt;＜ー―､　<br>　　　 .ﾉ |　　￣￣￣￣　　 .| ::::::::::::::::::::::::::::::::::: '´:::::::::::ヽ　｀ヽ　 ヽ<><>8bB85TWE0
962<>名前が無い程度の能力<>sage<>2008/11/06(木) 18:17:34<>おっぱお！<><>3///QqeI0
963<>名前が無い程度の能力<>sage<>2008/11/06(木) 18:25:11<>関節多くね？<><>CFgcEB8c0
964<>名前が無い程度の能力<>sage<>2008/11/06(木) 18:25:59<>音速拳と申したか<><>6wbGfN020
